Gene 	Time_1	Time_2	Time_4
YAL055W	-0.093667	-0.252901	0.104015
YAL067C	-0.035691	-0.36438	0.056602
YBL078C	-0.026223	-0.357719	0.148037
YBL084C	-0.133723	-0.388988	0.345224
YBR148W	-0.013276	-0.247798	-0.177356
YBR233W	0.188673	-0.335254	0.338691
YDL154W	-0.015069	-0.284404	0.358584
YDL155W	0.296101	-0.389719	0.561762
YDR104C	0.21127	-0.144662	0.341207
YDR113C	0.430769	-0.12359	0.510447
YDR118W	0.256022	-0.315661	0.016837
YDR177W	0.349322	-0.289018	0.26697
YDR191W	0.583864	-0.378462	-0.107034
YDR218C	0.316646	-0.221091	-0.132514
YDR253C	0.246119	-0.304177	0.531074
YDR263C	0.392261	-0.31345	0.438284
YDR285W	0.112363	-0.396109	0.568109
YDR403W	0.134954	-0.214937	0.295739
YDR446W	0.460292	-0.365888	0.509256
YDR522C	0.252242	-0.212438	0.510174
YDR523C	0.34374	-0.203196	0.558522
YFL003C	0.507666	-0.225893	0.390764
YFL011W	0.327789	-0.212126	0.446078
YFL017C	0.398029	-0.109933	0.164441
YFR023W	0.595866	-0.316502	0.358657
YFR028C	0.539742	-0.290523	0.10424
YGL009C	0.418772	-0.068443	0.151273
YGL033W	0.499472	-0.163768	0.215224
YGL116W	0.351016	-0.108127	0.328879
YGR059W	0.540587	-0.113644	0.588805
YGR088W	0.239718	0.122224	0.212969
YGR108W	0.407657	-0.250395	0.081688
YGR109C	-0.090312	0.030253	0.348295
YGR185C	0.049866	-0.036022	0.546564
YGR202C	0.152831	0.097642	0.402196
YGR225W	0.210032	0.293834	0.407741
YHL028W	-0.135169	0.261555	0.286733
YHR015W	0.035911	-0.204732	-0.259318
YHR124W	0.290043	-0.169882	-0.318376
YHR139C	0.466744	-0.37832	-0.333973
YHR184W	0.577453	-0.34024	-0.146894
YHR185C	0.23684	-0.229506	-0.304767
YHR208W	0.359365	0.185982	-0.27867
YIL045W	0.301978	0.211417	-0.282109
YIL072W	0.401742	-0.06089	-0.161654
YIL099W	0.240846	-0.007318	-0.368525
YIL139C	0.558866	0.077269	-0.282786
YIL159W	0.296945	0.195433	-0.190131
YIR013C	0.07063	0.085552	-0.197272
YJL106W	0.092477	-0.113637	-0.224613
YJR036C	-0.027662	-0.05315	-0.369519
YJR099W	0.106265	0.211903	-0.159723
YKL022C	0.033051	0.044907	-0.099279
YKL104C	0.429959	0.410325	-0.08982
YKL189W	0.527783	0.3774	-0.010166
