UID	BLANK	GWEIGHT	2A4SA	2A4SA(2)	2A0SB	2A0SA	2A4SB	2A10SB	2A10SB-20	1A17SA	1A17SA-12	2A0SB(2)	2C0SB	2C7SA	1A7SB	2A10SA	2C10SA
EWEIGHT			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MR-1 MC-1 R-1 C-1		1	-509.9204604	13.08888083	8.404427107	650.4052136	62.16712835	37.96310069	983.1687503	244.2929375	117.5476655	259.5409774	311.6584967	29.22817752	1098.926252	1064.841529	18.41880034
MR-1 MC-1 R-1 C-2		1	1257.829846	488.1265872	408.2818761	1319.271559	943.1266888	1559.698795	2581.120678	1059.192484	1162.967882	1781.933453	2288.767815	905.0188298	1826.663399	1409.808434	633.2565404
MR-1 MC-1 R-1 C-3		1	1931.232143	508.7535719	465.3612114	1901.465438	1419.979794	1637.266076	3139.588221	1621.708916	1629.353994	1765.253759	2899.920635	1120.231551	2459.509901	1807.965829	702.1456862
MR-1 MC-1 R-1 C-4		1	2656.019783	652.2469784	1215.30856	2691.074875	1828.552155	5365.228522	4517.208003	1823.964714	3521.972368	3892.827288	4970.577201	2607.627776	3327.580769	2235.574741	1638.638302
MR-1 MC-1 R-1 C-5		1	3697.849347	853.1026528	1035.866805	2138.843523	2463.137758	4019.869452	3854.897793	2228.065262	3728.178972	3898.48705	5227.094466	2246.914035	3140.359649	1731.711674	1573.795028
MR-1 MC-1 R-1 C-6		1	2418.576634	668.2553032	490.9366679	1523.427006	1665.585967	1945.422619	1828.534893	1902.34127	2324.429258	2898.764434	3154.244975	1232.709266	1515.295211	774.9277108	692.811245
MR-1 MC-1 R-1 C-7		1	2835.876722	449.0770218	606.3796258	1480.144737	975.7254998	2172.972826	2028.679653	1231.533065	1390.773633	2445.997342	2836.246039	787.5677338	1010.166345	780.1021886	549.9666667
MR-1 MC-1 R-1 C-8		1	756.8131684	125.4118234	156.0680932	524.5940781	347.9202132	750.8896135	685.0923108	372.3346917	594.1677954	734.6754718	903.1427503	459.2815111	587.7618366	275.0108696	195.9456522
MR-1 MC-1 R-1 C-9		1	7808.390784	1134.295547	1546.017761	3872.757092	2904.606323	5239.369478	4719.374411	2791.308874	4780.308554	5282.164228	4716.180455	2731.947313	3513.394792	1693.919697	1687.421212
MR-1 MC-1 R-1 C-10		1	4243.84162	484.1891537	684.6169163	1738.792887	1242.004526	2733.058891	2258.860393	1451.596017	2193.492341	2550.943757	2188.620748	1580.528986	1988.836211	1072.755216	953.2229087
MR-1 MC-1 R-1 C-11		1	2314.408606	353.5074224	316.2908372	709.1251142	769.2967045	1248.195628	1163.483899	796.5538946	1108.470833	1366.973473	1451.391582	710.0757681	818.8814087	549.3598967	494.4431153
MR-1 MC-1 R-1 C-12		1	11469.66241	2746.79062	3508.912704	5810.835089	3848.858198	12370.20795	8510.156765	4081.00966	7560.902673	10465.59364	10716.12919	5717.89454	6588.073675	5022.15648	4124.419239
MR-1 MC-1 R-1 C-13		1	5015.727398	627.8309001	1185.530881	1587.868196	1013.650621	2333.794781	1762.952723	841.6979638	2042.583396	2346.718421	3011.924882	1095.746653	1761.334323	1051.487802	833.8070925
MR-1 MC-1 R-1 C-14		1	3351.109923	301.401064	482.029846	739.9220598	568.2199546	761.7553385	1048.340893	496.974156	868.4146163	1298.515152	1501.599198	691.9962151	864.4352967	430.2898551	352.3884058
MR-1 MC-1 R-1 C-15		1	6721.684055	1369.277383	667.4702319	2016.719552	1630.845205	1435.154762	3903.819322	1918.204481	3204.751823	5499.820742	4096.446227	3516.699602	3633.010791	1932.868032	2075.754479
MR-1 MC-1 R-1 C-16		1	207.5211443	2.096754808	-11.87080713	188.0709389	3.437052834	0.758264463	240.6156525	123.8349573	10.02126697	-0.17092511	58.78449964	-7.32388664	202.2398785	316.6476674	2.707690806
MR-1 MC-1 R-2 C-1		1	2645.738391	1509.454017	1288.412128	2518.433215	4336.341391	4006.612009	4458.982239	2388.830607	4976.199609	5015.029359	4661.699441	1297.5238	1668.090207	1589.847343	1366.68277
MR-1 MC-1 R-2 C-2		1	931.7644231	457.3727977	355.3931147	663.6720588	1055.340038	1045.321569	953.4009662	633.4255293	1556.271183	1598.923109	1294.059124	354.9096777	391.2063002	416.0835859	490.1155724
MR-1 MC-1 R-2 C-3		1	8967.19973	2041.906841	1693.461062	3413.893532	4058.936556	6528.147344	7111.954098	4153.790364	6702.7202	7066.780488	8812.144527	3495.480607	4540.327572	3022.915464	2651.904027
MR-1 MC-1 R-2 C-4		1	2030.199939	249.2237104	330.9720563	850.8143819	966.9168812	1577.04951	1379.133841	593.7356232	1181.906265	1440.56612	1551.99508	820.1840972	1077.873884	706.7635156	511.7526516
MR-1 MC-1 R-2 C-5		1	20.98239437	12.23196248	-5.699074074	14.86597281	1.734267175	9.837878788	19.94187976	3.853269537	11.78209577	11.26213857	13.92131063	19.31592707	20.31826625	24.16125202	9.269131139
MR-1 MC-1 R-2 C-6		1	8.356332237	2.69724026	4.739265267	-6.442222222	-3.570993915	18.11984904	4.194315681	-3.191735213	9.908250023	3.495652174	10.72049442	11.71189507	96.78154681	26.67006054	-0.105485232
MR-1 MC-1 R-2 C-7		1	11.128331	9.136111111	6.687990148	1.489850427	4.910403598	2.114285714	22.04195178	-3.364810924	8.503042843	2.317260274	3.195652174	4.91765132	-24.68794423	27.69309975	3.595647082
MR-1 MC-1 R-2 C-8		1	9.827858416	9.661809636	9.897334949	-14.68140228	-10.98877035	2.484488915	10.63678915	0.589928954	9.904871795	1.760232558	0.351138716	-92.0106564	-112.8756861	31.16453202	-5.610837438
MR-1 MC-1 R-2 C-9		1	10558.10451	1292.654083	1458.021036	2897.741208	2260.047661	4294.187736	4746.937052	3121.818759	4262.789266	4509.502854	5427.922922	3574.112676	3521.043816	2221.528025	1842.295268
MR-1 MC-1 R-2 C-10		1	30356.11512	8809.234485	6966.616353	10319.47611	10575.36772	11429.88146	16215.46517	14402.19713	16906.67582	26883.74876	17658.98275	13923.33736	19348.00402	7558.060203	9546.099512
MR-1 MC-1 R-2 C-11		1	37224.05048	7665.305986	6714.454376	11073.35709	9427.967802	23476.18372	23983.81131	11460.21765	18810.434	30905.93146	27141.50863	19594.05698	18954.82901	12693.95491	10550.74068
MR-1 MC-1 R-2 C-12		1	4675.944666	490.0085526	679.7530914	1390.00553	1082.761493	2053.269824	1915.898148	1036.694885	1792.607553	2261.206852	2498.802264	1208.557635	1679.378106	863.7058848	794.5249685
MR-1 MC-1 R-2 C-13		1	-101.5414304	-2.061365287	-3.320736434	5.48984398	-7.931550802	63.58975182	-12.67729592	-10.15792112	20.4269958	-12.79665301	0.366300366	-4.438406454	17.823876	7.23023619	12.11946125
MR-1 MC-1 R-2 C-14		1	36879.85786	7518.394326	11087.8245	17940.1586	14554.74517	23263.18065	17380.31201	10244.54968	19566.8843	23481.83304	17214.59073	15739.12576	20522.27487	12028.04419	14395.32864
MR-1 MC-1 R-2 C-15		1	10765.59537	1272.942995	1506.596753	2943.217582	1775.381561	15118.89195	3703.72516	1845.090702	3521.809492	3287.562374	3564.419119	2816.779923	3099.671416	2051.921897	2138.096105
MR-1 MC-1 R-2 C-16		1	11611.66033	1008.147403	1458.476504	3401.328704	2191.615385	4026.246075	3806.570092	1570.13074	3481.170405	4249.08281	5090.125381	2046.516246	2939.857165	1880.968306	1579.384699
MR-1 MC-1 R-3 C-1		1	937.5402098	298.3706997	407.5925141	873.7019863	1046.885123	2561.571909	1689.935743	709.2465603	1754.573923	1445.66988	1742.308368	547.0544533	654.7053174	656.1831865	577.9511154
MR-1 MC-1 R-3 C-2		1	2738.429343	435.296337	866.9875201	1423.663643	1292.307268	2928.816333	3184.262089	924.4360281	1976.358728	1822.463014	2390.121795	1364.18892	1788.791591	1491.394847	1050.710668
MR-1 MC-1 R-3 C-3		1	8955.481286	1181.998026	1166.184404	2031.975777	2377.94982	3530.037806	4445.553232	2011.204606	3295.711182	3500.963171	4327.59442	2212.222185	2318.185287	1855.798148	1592.620034
MR-1 MC-1 R-3 C-4		1	3065.398537	430.8433692	773.9348055	1221.891683	1251.924226	3162.696534	2299.078584	791.3197832	2281.990886	1641.361494	2333.213097	1248.983234	1458.047151	1131.799928	967.7313043
MR-1 MC-1 R-3 C-5		1	11079.42665	2101.68599	2226.949812	3295.58565	4508.364843	1778.021716	5448.777119	3705.169256	8554.95171	8070.279442	5855.448357	3590.013375	4391.726424	2822.401257	2526.349398
MR-1 MC-1 R-3 C-6		1	10628.14555	2009.174163	2063.85825	3456.324605	3428.829139	6837.477346	6644.191404	4043.936981	5461.328062	7371.494681	7684.791304	5287.719265	5742.055074	3479.395531	2880.421457
MR-1 MC-1 R-3 C-7		1	12177.5487	1586.108717	3097.422515	5128.800454	4214.953141	10100.39175	6527.028855	3889.990494	7614.801877	7026.516736	8309.63652	5784.47061	7113.158634	3429.251355	2808.193999
MR-1 MC-1 R-3 C-8		1	7447.191786	1181.620583	1575.39469	3169.130703	2258.744473	6632.790248	5542.75	3067.107267	3854.719241	4764.543379	5583.166547	3480.607936	3900.081198	2521.57289	1947.349105
MR-1 MC-1 R-3 C-9		1	9905.701683	623.6921081	1004.946212	2673.185571	2677.384908	3955.920988	3295.393406	1870.376263	3698.015474	3926.819496	3793.794474	2860.807895	2688.980824	1377.441304	1242.546066
MR-1 MC-1 R-3 C-10		1	9906.615054	819.6241135	877.7462985	2188.941745	1350.134628	3670.32045	3025.752388	1865.409262	2852.958027	3535.601507	3306.49605	2158.376512	2595.746093	1476.261056	1338.992791
MR-1 MC-1 R-3 C-11		1	14631.31907	2119.791184	1382.924945	3035.584681	2405.418126	4888.468971	5813.214348	3086.957955	4444.199371	6278.754436	5899.160486	5267.990933	5224.273341	2973.281124	3063.140562
MR-1 MC-1 R-3 C-12		1	88.22059383	15.65909091	10.41076541	10.75073099	19.62370104	291.7548276	51.55314269	13.76040661	24.6059516	40.50428727	33.97856923	19.86300107	36.11597891	46.52815733	17.13902987
MR-1 MC-1 R-3 C-13		1	3.947712418	6.615480649	-3.056027165	11.64035088	-3.473978289	-326.7312925	41.71665633	-2.107205941	16.02260135	17.32222222	8.988721805	-5.597569342	-67.76499559	49.58457543	5.868902439
MR-1 MC-1 R-3 C-14		1	16.37665593	-0.087134586	6.484250399	18.88958569	7.196670571	-322.5033292	37.44446613	10.51633275	13.75892857	29.55142857	19.86813401	92.71029748	46.43913043	85.59681827	33.48028499
MR-1 MC-1 R-3 C-15		1	-0.347406979	1.575242718	11.52277558	1.902380952	-0.209039548	-0.310509759	21.06730701	0.986666667	-17.41176471	4.020229008	15.14170543	-5.212551535	37.25706215	-6.979600163	3.867197062
MR-1 MC-1 R-3 C-16		1	2.60375	0.112461335	19.44594595	1.050992063	0.547945205	-7.256600804	-6.209643968	7.414957078	-5.963230862	2.988989272	9.604186047	-0.621363937	3.691900243	4.952469256	8.640054655
MR-1 MC-1 R-4 C-1		1	9919.057445	4932.311968	2629.86113	4832.293529	9503.343248	7143.024805	7484.881555	7499.871023	13725.14441	14226.40631	11976.01058	3725.13456	8557.687423	4240.037721	3400.195692
MR-1 MC-1 R-4 C-2		1	6064.100386	875.6828847	943.608847	2426.787683	3995.239649	4566.914578	2959.473846	2171.540545	3583.175017	3878.493079	5094.869555	1572.461454	2256.000928	1196.003596	1001.913835
MR-1 MC-1 R-4 C-3		1	2218.350483	270.8181084	135.6006495	497.8053208	754.6792866	1132.390251	755.9445139	725.9507241	761.7154738	1162.469771	1065.128893	363.8707684	482.6745461	302.1114493	253.3726087
MR-1 MC-1 R-4 C-4		1	11843.75406	1210.591042	727.3081758	2656.428528	3477.642105	5466.121774	4646.025403	2506.842423	3377.699445	4699.076592	6103.50905	2461.308304	3035.445205	1903.125886	1552.442633
MR-1 MC-1 R-4 C-5		1	6722.257003	905.267441	1271.457145	2160.85823	2309.400991	3660.499862	3455.818841	1954.93412	3113.284004	3474.707608	4924.091425	2010.667571	2673.194997	1421.312855	1235.148417
MR-1 MC-1 R-4 C-6		1	2964.879257	350.2798021	382.1890528	1282.632838	1187.214851	2486.805377	1270.0617	753.4772217	1499.407378	1777.402159	2105.473733	853.7446498	1287.92491	487.3282711	380.3168135
MR-1 MC-1 R-4 C-7		1	3172.185602	427.4863124	405.1413814	855.9811374	1084.254004	1490.203219	1279.350576	946.8683333	1460.928712	1903.271746	1675.867002	855.5607821	971.3265707	600.1952618	562.5438292
MR-1 MC-1 R-4 C-8		1	8611.261939	1220.107852	1342.142659	3201.025436	2082.936229	3703.268847	2700.609731	2052.474719	2336.715619	2830.098368	1778.161169	2642.729706	4434.517647	3000.939635	2949.096474
MR-1 MC-1 R-4 C-9		1	2265.315187	216.2138756	172.6018619	708.8401004	594.3227202	1350.146096	890.1728645	444.109127	726.7800702	994.520034	997.9881651	599.6355742	795.8338936	491.0523529	324.6337998
MR-1 MC-1 R-4 C-10		1	5721.431766	388.5202477	263.2762049	899.1538462	730.0629857	2214.899804	1988.211272	1042.102259	1180.734236	1642.428652	1829.123077	1381.086006	1459.261775	927.7201411	758.3300429
MR-1 MC-1 R-4 C-11		1	2364.90751	207.558988	506.2554225	781.0861003	532.0673597	1400.767745	936.4952005	524.4076838	896.3926183	708.7131285	1157.247647	571.2019231	846.0087139	275.8275409	90.97347081
MR-1 MC-1 R-4 C-12		1	5100.531054	588.7447734	351.3996414	934.5560366	739.8463203	7073.978324	2178.206889	887.8368177	1196.381151	2358.338002	2259.765509	2039.822107	1935.721572	1200.349398	980.6246117
MR-1 MC-1 R-4 C-13		1	17924.46604	2272.851484	2884.621399	5598.270835	4061.052691	9974.221971	8105.394694	3656.688954	8846.564726	8559.483531	10825.16493	4102.87964	5562.27767	4110.048478	3285.693116
MR-1 MC-1 R-4 C-14		1	6758.72341	464.9536253	585.209536	1401.37369	1060.102959	2710.282746	1796.411232	685.316945	1747.079087	1987.445225	1926.856352	1386.969972	1359.093445	914.5283644	744.7652174
MR-1 MC-1 R-4 C-15		1	6238.995599	536.7580369	870.7209861	1613.46226	944.1445124	3651.984617	2263.13587	785.5561224	2231.903176	1825.876959	2644.742014	1212.20336	1486.93371	1127.817643	900.7979873
MR-1 MC-1 R-4 C-16		1	23591.22733	3853.500115	5008.213557	8544.55995	6285.775738	15087.86253	11269.43954	3833.990736	14210.22747	11446.31136	10594.55828	7213.354458	7533.792832	4440.521678	5388.178273
MR-1 MC-1 R-5 C-1		1	2357.694849	318.2513306	474.6149434	800.1541684	925.6756303	1169.019706	1961.622066	542.7302915	1040.5189	968.0465604	1335.43234	891.1988095	1264.984524	928.3006522	690.9997101
MR-1 MC-1 R-5 C-2		1	730.9120997	105.3251662	160.8223929	149.1010101	211.0455537	1328.709736	218.0431502	86.8188136	190.4050924	210.4965986	162.7665896	195.9737437	316.9200206	97.19722222	90.9707672
MR-1 MC-1 R-5 C-3		1	5792.408641	774.4869048	1285.590617	1628.487501	1521.578413	1710.983176	2288.898611	1121.997093	1869.782974	1912.138427	2002.314485	1722.431184	2638.968001	1084.641001	1016.180106
MR-1 MC-1 R-5 C-4		1	583.4235822	64.65358139	76.64680851	122.627451	120.9665375	242.7613941	200.3191084	59.22657135	139.5582216	166.8491326	129.0778509	156.8944587	241.3786871	122.3986312	81.75700483
MR-1 MC-1 R-5 C-5		1	1504.511505	167.1433155	439.6908425	548.446281	399.2475693	672.1255795	652.0911334	249.9610845	531.4243499	490.2521659	740.9931621	421.7135508	624.0334679	334.2615217	197.7702899
MR-1 MC-1 R-5 C-6		1	1067.081335	140.045522	200.6175115	275.5223464	278.4447978	419.1818814	460.9953896	168.2282639	269.5959552	432.2229772	386.4422926	389.5972215	479.6451596	228.8473535	182.0204045
MR-1 MC-1 R-5 C-7		1	5880.321057	595.2990091	690.4194677	1465.464978	1311.293951	2933.580215	2960.494565	1146.190863	1470.55704	2118.530192	2304.08047	1983.417367	2064.531116	1319.422134	1022.248155
MR-1 MC-1 R-5 C-8		1	1774.067265	270.3217353	786.1612258	912.4432056	526.9050078	998.9839325	1227.205168	510.2291501	697.5952709	949.9512085	896.9883656	966.8075445	1391.82014	701.2476285	486.1503294
MR-1 MC-1 R-5 C-9		1	1839.80751	301.7545678	703.7982797	898.6806964	497.1960784	942.1839931	925.6087964	303.0698073	444.4079492	810.2954674	681.8088199	828.1751526	2081.6558	564.2023828	449.3019443
MR-1 MC-1 R-5 C-10		1	1778.074635	264.7562623	887.6556186	629.9366925	411.747523	839.0796694	1018.619352	485.544965	682.2094216	866.8258929	643.6155303	944.7973733	1116.610741	730.8498026	555.4177213
MR-1 MC-1 R-5 C-11		1	2808.519769	289.3254508	425.8739951	696.5552201	974.6847864	1337.476471	1050.809318	638.3379121	1454.314222	1407.383095	1197.431068	828.1752719	884.6760682	596.0201884	568.079673
MR-1 MC-1 R-5 C-12		1	3575.502741	785.1225862	622.826087	1202.576366	1474.256444	1788.945988	1900.604895	1008.519857	2151.452997	2575.175498	1587.265523	1204.501279	1472.983882	962.3328026	822.5344019
MR-1 MC-1 R-5 C-13		1	715.4225146	120.7815363	150.7641824	390.760275	291.946227	-248.3252007	571.0103535	272.7330265	376.4881395	449.3223125	367.401463	385.099085	699.0894118	400.9220379	323.6859726
MR-1 MC-1 R-5 C-14		1	916.4631823	139.416247	214.4085437	333.7410216	222.9913159	622.8174002	724.8931159	232.2448326	305.9779368	430.3587719	489.0009883	441.723301	597.3322661	384.0243742	269.4191041
MR-1 MC-1 R-5 C-15		1	2795.453044	274.4292237	534.4266043	815.2489064	485.4747253	1350.541497	1168.442029	390.0642515	729.4454225	1005.718517	890.2758282	857.7615002	946.3453392	671.25006	527.4629148
MR-1 MC-1 R-5 C-16		1	1387.012797	275.8360814	516.8140638	872.4717293	368.2636379	922.2325708	1117.804312	383.7392174	602.593956	890.2477517	738.7426278	908.5790643	1141.970468	861.4630837	688.296256
MR-1 MC-1 R-6 C-1		1	4455.906812	706.0821335	689.7280172	1421.440803	1861.494457	2407.047125	2844.278689	778.5450302	1216.21972	1575.473067	2019.777066	1872.860963	2464.038503	1647.966521	1167.500117
MR-1 MC-1 R-6 C-2		1	7446.793294	695.8368513	1436.188958	2018.245098	2354.425231	2295.057518	2089.012985	1196.313763	1989.28959	1891.610875	1769.880046	1478.117786	2339.622868	1123.326159	1594.235652
MR-1 MC-1 R-6 C-3		1	13514.56526	1539.298513	951.9065796	1635.279897	3325.123766	3531.745507	4803.452657	2297.915986	3513.04863	4950.111736	4431.807546	2526.797107	2687.263509	1726.855026	1630.271032
MR-1 MC-1 R-6 C-4		1	2456.969858	228.6499805	260.0779159	672.6330257	910.2043676	1619.810185	955.9546252	472.7495942	805.998968	1169.645479	1159.858248	547.6868687	746.04329	386.3236695	374.9358594
MR-1 MC-1 R-6 C-5		1	1753.467297	128.4706977	188.1519826	457.3687331	471.1886195	-75.90953786	880.8480766	312.3008778	504.5772386	546.3831919	917.6903226	434.0114657	592.2226827	324.2776038	223.4022964
MR-1 MC-1 R-6 C-6		1	12099.91224	1569.83781	1437.07634	3304.534085	4808.844343	5831.419475	5847.157473	3979.509615	6216.013826	7583.807431	8032.321207	4291.001765	5273.938529	2443.528908	2207.615064
MR-1 MC-1 R-6 C-7		1	17805.38882	1989.216334	2860.069452	6081.631867	6023.492863	11980.86652	7859.116203	5035.292083	8141.055755	10429.64194	11073.72089	6327.369248	8614.539273	4396.814815	3469.314815
MR-1 MC-1 R-6 C-8		1	17752.88897	2280.588562	3964.114101	7677.556365	7236.080198	14435.44031	9122.316143	6557.522987	9489.586011	10549.34221	12068.98836	6073.338548	9312.706904	4420.326087	4290.392157
MR-1 MC-1 R-6 C-9		1	3102.939394	363.2032634	498.1777472	750.8359524	626.1901374	1167.662153	1182.860973	509.2248059	897.890801	1256.622448	885.1261941	890.4431527	940.413459	583.1072763	490.5921485
MR-1 MC-1 R-6 C-10		1	2375.177121	302.7488136	272.1079519	699.0175652	935.3130252	1294.82758	1025.110609	712.4296733	1033.262577	1395.316508	1158.803842	790.4802775	984.1614548	482.2773358	427.022884
MR-1 MC-1 R-6 C-11		1	3513.201316	502.4447108	674.6227444	1150.866977	1302.671801	1938.837344	1661.485507	884.6603565	1522.977287	1691.552959	1528.581497	1474.702994	1511.492651	890.5573781	843.5031621
MR-1 MC-1 R-6 C-12		1	4088.53125	461.0828402	634.0938206	1032.251037	693.8122344	2025.215196	1408.60114	593.2770833	1150.684498	1501.077116	1009.999616	1220.142734	1306.599193	843.0822981	841.707971
MR-1 MC-1 R-6 C-13		1	3280.287416	302.0258724	679.9507948	789.5222222	858.448236	948.7953893	1151.628238	865.3891129	2352.711557	2012.4396	2149.24585	805.6286375	950.8161065	555.2795188	447.432469
MR-1 MC-1 R-6 C-14		1	1713.256299	231.3002755	469.679932	617.2015585	365.1590909	2565.639929	1296.094715	338.6383394	647.5719447	809.9513221	644.3483658	935.6653122	1196.348737	742.9348551	605.7930435
MR-1 MC-1 R-6 C-15		1	6370.625659	638.8026141	924.0220018	1682.672095	1511.685032	2493.989379	2122.417958	1083.684333	2441.680745	2239.843126	2516.359419	1684.072549	2050.671709	1069.781428	910.2797071
MR-1 MC-1 R-6 C-16		1	2124.861638	240.3998853	317.4176363	669.6603129	326.5	843.8502674	1028.570883	268.5722222	548.4769962	736.6674847	631.8087814	966.285791	998.9210851	757.754227	527.3866559
MR-1 MC-1 R-7 C-1		1	13957.3002	1466.919658	1383.785106	2453.501718	7050.02625	3910.232932	4583.79242	2342.571611	4616.817756	3937.702803	4169.615171	1522.396777	1791.608673	1662.809627	1455.159444
MR-1 MC-1 R-7 C-2		1	3317.33251	467.0230769	384.9693172	637.124277	1291.158663	762.8906566	955.1922303	622.8453228	1163.885431	1220.664444	1194.740883	469.0397321	579.4923363	408.4300226	463.3590665
MR-1 MC-1 R-7 C-3		1	14684.2108	1869.823447	1519.940028	3106.272906	7045.34562	5704.011517	7949.746369	3997.601604	5735.338645	6758.397887	8192.394824	3526.869053	4472.513039	2993.945914	2577.161923
MR-1 MC-1 R-7 C-4		1	2501.262005	262.1424275	339.8401361	706.4089302	1114.607212	1302.152718	1507.603201	529.146209	895.6723043	1278.01588	1333.603155	457.900277	599.5195569	638.7770648	482.053955
MR-1 MC-1 R-7 C-5		1	45.41215847	5.620112782	1.398167939	10.58545619	9.363903986	19.17353113	18.19514472	11.65437431	12.65860849	11.43901594	12.21959713	10.57444842	40.53595707	29.70461939	13.71655823
MR-1 MC-1 R-7 C-6		1	40.80953758	13.13730736	15.09430712	14.45493519	8.112160567	11.41455515	12.65943878	1.0453017	7.376923077	6.965447971	-0.231027027	7.927920763	-14.6128904	40.56612337	5.441538161
MR-1 MC-1 R-7 C-7		1	-2.826046972	6.899085462	7.236928105	-0.311170213	-1.071073353	0.71149789	20.04709836	3.367073171	9.554919529	0.439422181	3.510233918	-4.105854197	-7.236837261	31.14407257	3.900620163
MR-1 MC-1 R-7 C-8		1	-5.400694272	10.12296919	-1.757177033	5.071481209	-9.489229025	8.987068966	-4.373782742	-1.112215909	-12.14161491	5.091538462	-1.253951368	-12.12739799	25.38378378	38.74754902	16.4522409
MR-1 MC-1 R-7 C-9		1	16825.49301	1253.91009	1323.159524	2644.612346	3148.044581	4683.832406	5223.840291	2684.413027	4477.145919	3957.734278	4764.571173	3118.702037	3120.046909	2253.898352	1941.126748
MR-1 MC-1 R-7 C-10		1	29785.44072	7712.88379	5604.301436	9236.825063	10523.08917	13827.91412	14082.79561	12085.74623	19224.03668	21112.59657	14334.75046	12850.85534	17950.04107	7826.752717	9536.136693
MR-1 MC-1 R-7 C-11		1	47161.82742	6923.846657	6456.22302	10947.96031	10903.79371	20209.96214	25356.72522	10114.51136	19236.24763	30105.17405	25230.52572	14953.37308	14329.64624	12616.28862	10284.83374
MR-1 MC-1 R-7 C-12		1	6007.672647	421.5071429	573.8378534	1287.501546	1332.711744	1803.370675	1938.993663	1124.669675	1923.559076	1657.222375	2082.658077	926.9271486	1191.225316	823.9070358	761.8605695
MR-1 MC-1 R-7 C-13		1	0.476379974	32.45703913	6.802662262	19.39323308	-3.400123686	-46.92394085	18.53670243	-7.951652502	4.2833764	11.28883205	11.49215686	-1042.981586	-1399.896418	13.89261084	-4.299507389
MR-1 MC-1 R-7 C-14		1	39817.07593	7632.125413	10156.39264	17610.833	11227.53226	25228.65335	18009.83925	10903.68811	25700.6921	20515.84571	16573.49099	14763.05298	18820.53168	11884.13645	14236.46686
MR-1 MC-1 R-7 C-15		1	30989.37991	3330.355819	6249.644848	3949.746753	2712.690677	4947.467871	3813.67236	2046.916129	7038.946751	4059.1041	4278.996555	2588.935235	2925.939183	2295.22717	2406.724367
MR-1 MC-1 R-7 C-16		1	15917.24489	832.1176747	1220.51417	3186.350397	2315.770088	4419.136612	3271.717865	1522.421135	4043.096	3218.984314	4016.655338	2074.632784	2975.816915	1675.831418	1473.034392
MR-1 MC-1 R-8 C-1		1	4955.659059	381.0134477	496.0537512	842.5383013	1753.133917	1446.334259	1655.731697	673.7894787	1247.152735	1206.219046	1524.191765	585.9308521	705.7864488	567.1553801	501.9917255
MR-1 MC-1 R-8 C-2		1	4580.424215	475.7366784	748.1650347	1351.043478	1945.115988	3112.607126	3225.260909	906.2327117	1618.536518	1530.341454	2185.298767	1182.443003	1555.491346	1315.201461	943.7203701
MR-1 MC-1 R-8 C-3		1	9701.488506	1134.305837	1009.047929	1842.014318	3826.558405	3716.160346	4685.73458	1937.478526	2702.867446	3129.093032	3958.920891	2467.90819	2485.49714	1636.509662	1436.877214
MR-1 MC-1 R-8 C-4		1	3580.286087	478.1335034	711.8443644	1056.39328	1660.627689	2827.558883	2292.396809	790.1306492	1667.257074	1370.289633	2093.999723	1329.461018	1477.124281	1032.88893	864.1006929
MR-1 MC-1 R-8 C-5		1	10998.33192	2426.243495	2052.246118	3237.903293	5955.290972	6091.898711	5890.09154	3606.087302	7052.916946	5559.207884	5307.225235	3570.39227	4121.88919	2978.291784	2596.057911
MR-1 MC-1 R-8 C-6		1	12888.74401	1976.613821	2242.003962	3108.750735	4012.974662	6093.674454	6747.296378	3513.872895	5965.613851	6574.624033	6978.370234	4949.745774	5477.802791	3557.595129	2846.830556
MR-1 MC-1 R-8 C-7		1	16292.84612	1690.870476	3104.545267	3762.016224	5401.786079	5737.490338	5567.979232	3395.410722	7031.533991	5582.606597	6826.653217	3304.452737	4344.369645	2660.232788	2090.633678
MR-1 MC-1 R-8 C-8		1	9416.135331	1243.027807	1436.711574	2975.970113	3008.813841	5542.53442	5955.050606	2500.41028	4018.197115	3874.306282	5124.27375	2952.332125	3531.763164	2761.693841	1977.630435
MR-1 MC-1 R-8 C-9		1	11645.7589	634.2521578	792.1287719	2223.401641	3555.716129	4640.388833	3476.330719	1530.313004	3377.002548	3135.092334	3264.583057	1990.399742	1935.900689	1333.426738	1189.729009
MR-1 MC-1 R-8 C-10		1	10101.39353	566.5945116	649.4120781	1930.829346	1512.591479	2883.675317	2788.709094	1502.590547	2513.218279	2142.950661	2552.733273	1612.200791	1905.381818	1318.458186	1148.481371
MR-1 MC-1 R-8 C-11		1	15724.69461	2093.949717	1202.113216	2845.663284	2142.145943	4028.651945	5933.455956	2936.408029	4598.207743	5418.187557	5349.642894	3949.810144	3886.388317	2883.651534	2935.079159
