Gene name(s) 	Probe name 	Spot name 	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	log2 ( 0.0 )	(- log2 ( 0.0 )  )
G1	P01	S01	0.155530	0.660158	0.631280	0.020739	0.896621	0.927486	0.058393	0.696287	0.452111	0.400462	-Infinity	Infinity
G2	P02	S02	0.175578	0.569635	0.604551	0.516477	0.539295	0.631828	0.402589	0.046392	0.831956	0.856376	-Infinity	Infinity
G3	P03	S03	0.682633	0.354224	0.048062	0.235175	0.872432	0.374508	0.254739	0.006950	0.475413	0.245222	-Infinity	Infinity
G4	P04	S04	0.536831	0.432251	0.354475	0.513076	0.138463	0.062031	0.417895	0.364228	0.303190	0.846717	-Infinity	Infinity
G5	P05	S05	0.822721	0.158026	0.190011	0.314067	0.666929	0.121810	0.512509	0.570451	0.619121	0.603634	-Infinity	Infinity
G6	P06	S06	0.505525	0.974566	0.428837	0.826436	0.644172	0.629906	0.527187	0.714973	0.968089	0.819517	-Infinity	Infinity
G7	P07	S07	0.688827	0.190365	0.791454	0.086275	0.519192	0.202236	0.372475	0.297038	0.424448	0.715571	-Infinity	Infinity
G8	P08	S08	0.840141	0.241665	0.610563	0.551475	0.248922	0.876819	0.459795	0.863903	0.607730	0.733588	-Infinity	Infinity
G9	P09	S09	0.788162	0.753694	0.240751	0.629936	0.820103	0.448576	0.681012	0.432049	0.364618	0.130722	-Infinity	Infinity
G10	P10	S10	0.032547	0.860009	0.366554	0.145429	0.476861	0.468675	0.070959	0.100395	0.197022	0.164646	-Infinity	Infinity
G11	P11	S11	0.202998	0.856609	0.973653	0.460617	0.939367	0.737483	0.038404	0.382165	0.456226	0.809842	-Infinity	Infinity
G12	P12	S12	0.671926	0.203056	0.433568	0.283265	0.165615	0.725714	0.449645	0.179849	0.509834	0.296002	-Infinity	Infinity
G13	P13	S13	0.255168	0.222565	0.030916	0.839867	0.554888	0.768813	0.733504	0.957448	0.317701	0.357248	-Infinity	Infinity
G14	P14	S14	0.745630	0.052781	0.579369	0.201973	0.794969	0.611585	0.591937	0.624980	0.142807	0.719664	-Infinity	Infinity
G15	P15	S15	0.039458	0.730475	0.207526	0.333346	0.004752	0.890153	0.407483	0.103563	0.307961	0.705187	-Infinity	Infinity
G16	P16	S16	0.856338	0.314480	0.725188	0.292432	0.191105	0.062639	0.391880	0.872942	0.378760	0.020011	-Infinity	Infinity
G17	P17	S17	0.740049	0.240842	0.521180	0.723604	0.727271	0.743790	0.976360	0.047698	0.660925	0.162445	-Infinity	Infinity
G18	P18	S18	0.590240	0.966403	0.260924	0.754384	0.023194	0.009163	0.207779	0.814544	0.849416	0.333161	-Infinity	Infinity
G20	P19	S19	0.186499	0.819395	0.490713	0.509288	0.934134	0.348217	0.050891	0.018819	0.036512	0.796838	-Infinity	Infinity
G21	P20	S20	0.963996	0.616892	0.709244	0.700919	0.942578	0.271143	0.115509	0.634610	0.716496	0.926914	-Infinity	Infinity
G22	P21	S21	0.442745	0.417659	0.041247	0.306335	0.731971	0.899561	0.807279	0.503410	0.204549	0.090370	-Infinity	Infinity
G23	P22	S22	0.739676	0.576371	0.759602	0.270226	0.107387	0.867955	0.402188	0.103137	0.124993	0.776798	-Infinity	Infinity
G24	P23	S23	0.149160	0.113474	0.643508	0.104498	0.488391	0.705723	0.125817	0.863191	0.612900	0.505057	-Infinity	Infinity
G25	P24	S24	0.381833	0.195749	0.668943	0.904348	0.816149	0.619233	0.701949	0.060835	0.680634	0.727307	-Infinity	Infinity
G26	P25	S25	0.100202	0.301358	0.854996	0.128810	0.262946	0.611546	0.207277	0.886757	0.060006	0.537954	-Infinity	Infinity
G27	P26	S26	0.463318	0.464426	0.340368	0.971947	0.706684	0.563628	0.607777	0.193660	0.150830	0.517091	-Infinity	Infinity
G28	P27	S27	0.562892	0.373989	0.161793	0.184825	0.385655	0.738738	0.358784	0.830382	0.393649	0.238537	-Infinity	Infinity
G29	P28	S28	0.887985	0.115829	0.774885	0.362525	0.574096	0.412070	0.153157	0.372710	0.601802	0.514337	-Infinity	Infinity
G30	P29	S29	0.517169	0.337256	0.404081	0.699862	0.564576	0.913633	0.004374	0.172603	0.345928	0.572409	-Infinity	Infinity
G31	P30	S30	0.840674	0.472047	0.187471	0.369839	0.405749	0.074645	0.305151	0.106371	0.885515	0.860729	-Infinity	Infinity
G32	P31	S31	0.434672	0.130169	0.607478	0.260780	0.335431	0.483979	0.370694	0.804148	0.752522	0.735815	-Infinity	Infinity
